# Frequency (Hz), Power Spectrum (A^2/Hz)
1318.90869, 2.23206259e-10
1321.60034, 9.13171067e-11
1324.29199, 2.10041276e-10
1326.98364, 1.39734641e-10
1329.67529, 1.00057844e-10
1332.36694, 1.66599928e-10
1335.05859, 1.19728255e-10
1337.75024, 1.06783922e-10
1340.44189, 2.74900908e-10
1343.13354, 1.83404636e-09
1345.8252, 1.08702281e-09
1348.51685, 1.0936748e-10
1351.2085, 8.84409837e-11
1353.90015, 3.86002862e-11
1356.5918, 9.02489333e-11
1359.28345, 1.26564995e-10
1361.9751, 5.95997279e-11
1364.66675, 9.26517821e-11
1367.3584, 1.09525271e-10
1370.05005, 5.66221479e-11
1372.7417, 3.09470061e-10
1375.43335, 1.79103987e-09
1378.125, 8.144731e-10
1380.81665, 9.65085373e-11
1383.5083, 1.1218091e-10
1386.19995, 7.055595e-11
1388.8916, 8.18712806e-11
1391.58325, 1.30049957e-10
1394.2749, 6.15189497e-11
1396.96655, 5.77867615e-11
1399.6582, 1.06232502e-10
1402.34985, 6.57529448e-11
1405.0415, 3.56621427e-10
1407.73315, 1.84833415e-09
1410.4248, 6.53435861e-10
1413.11646, 5.62828222e-11
1415.80811, 8.06588407e-11
1418.49976, 7.50524573e-11
1421.19141, 5.59493007e-11
1423.88306, 8.73675438e-11
1426.57471, 7.4964264e-11
1429.26636, 5.51660176e-11
1431.95801, 9.1232466e-11
1434.64966, 8.62111493e-11
1437.34131, 4.96976904e-10
1440.03296, 1.73961501e-09
1442.72461, 4.77121898e-10
1445.41626, 4.5316223e-11
1448.10791, 5.83827015e-11
1450.79956, 6.93075319e-11
1453.49121, 4.40764543e-11
1456.18286, 5.32017867e-11
1458.87451, 6.33164771e-11
1461.56616, 3.71101171e-11
1464.25781, 4.69337832e-11
1466.94946, 7.50267348e-11
1469.64111, 6.11869277e-10
1472.33276, 1.6026126e-09
1475.02441, 3.53102603e-10
1477.71606, 6.30533195e-11
1480.40771, 7.0223001e-11
1483.09937, 8.45650355e-11
1485.79102, 7.86793408e-11
1488.48267, 5.59708564e-11
1491.17432, 9.70596867e-11
1493.86597, 6.60346014e-11
1496.55762, 6.84025336e-11
1499.24927, 1.05973799e-10
1501.94092, 8.64459171e-10
1504.63257, 1.63802349e-09
1507.32422, 2.8206093e-10
1510.01587, 1.31936156e-10
1512.70752, 5.91406868e-10
1515.39917, 9.84371962e-09
1518.09082, 9.19434484e-09
1520.78247, 4.3051665e-10
1523.47412, 1.16783611e-10
1526.16577, 1.01320945e-10
1528.85742, 1.30708777e-10
1531.54907, 1.08013667e-10
1534.24072, 9.38147005e-10
